Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,Pass7
3_20_2_75_10.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,3_40_0.75_75_10.csv,0.2068854523250318,0.1882110015795928,Yes,2_120_1_75_8.csv,0.29157295307536407,0.024401397940646823,Yes,,
3_20_2_75_12.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,3_40_0.75_75_12.csv,0.2068854523250318,0.1882110015795928,Yes,2_120_1_200_8.csv,0.29157293373022997,0.021422455074878704,Yes,,
3_20_2_75_14.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,3_40_0.75_75_14.csv,0.2068854523250318,0.1882110015795928,Yes,2_40_1.75_75_8.csv,0.2907655418146598,0.009557430000798483,Yes,,
3_20_2_75_16.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,3_40_0.75_75_16.csv,0.2068854523250318,0.1882110015795928,Yes,2_60_2_175_10.csv,0.29053476603844347,0.0007037925857082782,Yes,,
3_20_2_75_18.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,3_40_0.75_75_18.csv,0.2068854523250318,0.1882110015795928,Yes,2_60_2_150_10.csv,0.2905347147147023,0.0007038193081071354,Yes,,
3_20_2_75_20.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,3_40_0.75_75_20.csv,0.2068854523250318,0.1882110015795928,Yes,2_60_2_175_8.csv,0.2891140597089753,0.0007038116678305174,Yes,,
3_20_2_75_4.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,3_40_0.75_75_4.csv,0.2068854523250318,0.1882110015795928,Yes,2_60_2_150_8.csv,0.28911401636389933,0.0007038080475919133,Yes,,
3_20_2_75_6.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,3_40_0.75_75_6.csv,0.2068854523250318,0.1882110015795928,Yes,2_60_1.5_50_6.csv,0.28824132982735284,-0.008816153285278164,No,,
3_20_2_75_8.csv,0.26603203125,-0.029929396582394803,No,,,,,,,,,,,3_40_0.75_75_8.csv,0.2068854523250318,0.1882110015795928,Yes,2_60_1.5_100_6.csv,0.2882412933464809,-0.01314218365119213,No,,
2_40_1.25_100_10.csv,0.265273,-0.038982351403753945,No,,,,,,,,,,,2_60_0.75_75_6.csv,0.20576175870176788,0.09864387893642335,Yes,2_60_1.5_75_6.csv,0.2882412915058355,-0.008816142117205442,No,,
2_40_1.25_100_12.csv,0.265273,-0.038982351403753945,No,,,,,,,,,,,2_60_0.75_50_6.csv,0.20576174273916575,0.09864388665714979,Yes,1_60_0.75_100_4.csv,0.2880255515944172,-0.01847878090206566,No,,
2_40_1.25_100_14.csv,0.265273,-0.038982351403753945,No,,,,,,,,,,,2_40_1.75_175_6.csv,0.2057597379396106,0.16247552315727812,Yes,3_60_0.75_100_4.csv,0.2880255515944172,-0.01847878090206566,No,,
2_40_1.25_100_16.csv,0.265273,-0.038982351403753945,No,,,,,,,,,,,1_20_0.75_225_10.csv,0.20522122834641948,0.0710106876787357,Yes,1_60_0.75_100_10.csv,0.28802550984860575,-0.018478730695133477,No,,
2_40_1.25_100_18.csv,0.265273,-0.038982351403753945,No,,,,,,,,,,,1_20_0.75_225_12.csv,0.20522122834641948,0.0710106876787357,Yes,1_60_0.75_100_12.csv,0.28802550984860575,-0.018478730695133477,No,,
2_40_1.25_100_20.csv,0.265273,-0.038982351403753945,No,,,,,,,,,,,1_20_0.75_225_14.csv,0.20522122834641948,0.0710106876787357,Yes,1_60_0.75_100_14.csv,0.28802550984860575,-0.018478730695133477,No,,
