Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,Pass7
,,,,,,,,3_100_1.25_200_16.csv,0.11420528756686732,0.2062273073857661,Yes,2_120_1.75_125_16.csv,0.17102527259452044,0.22932250096608287,Yes,3_100_0.75_225_10.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,3_100_1.25_200_18.csv,0.11420528756686732,0.2062273073857661,Yes,2_120_1.75_150_16.csv,0.17102527259452044,0.22932250096608287,Yes,3_100_0.75_225_12.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,3_100_1.25_200_20.csv,0.11420528756686732,0.2062273073857661,Yes,2_120_1.75_50_16.csv,0.17102527259452044,0.22932250096608287,Yes,3_100_0.75_225_14.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,3_100_1.25_200_4.csv,0.11420528756686732,0.2062273073857661,Yes,2_120_1.75_75_16.csv,0.17102527259452044,0.22932250096608287,Yes,3_100_0.75_225_16.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,3_100_1.25_200_6.csv,0.11420528756686732,0.2062273073857661,Yes,2_120_1.75_225_16.csv,0.17102526069526958,0.22932248765412916,Yes,3_100_0.75_225_18.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,3_100_1.25_200_8.csv,0.11420528756686732,0.2062273073857661,Yes,2_120_1.75_200_18.csv,0.17102526367323045,0.2293224855307615,Yes,3_100_0.75_225_20.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,1_100_2_100_10.csv,0.11407406385311442,-0.0519346332742672,No,2_120_1.75_100_18.csv,0.17102525822252282,0.22932249946040906,Yes,3_100_0.75_225_4.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,1_100_2_100_12.csv,0.11407406385311442,-0.0519346332742672,No,2_120_1.75_125_18.csv,0.17102525822252282,0.22932249946040906,Yes,3_100_0.75_225_6.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,1_100_2_100_14.csv,0.11407406385311442,-0.0519346332742672,No,2_120_1.75_150_18.csv,0.17102525822252282,0.22932249946040906,Yes,3_100_0.75_225_8.csv,0.11498825819192977,0.10399075654875051,Yes,,,,,,
,,,,,,,,1_100_2_100_16.csv,0.11407406385311442,-0.0519346332742672,No,2_120_1.75_50_18.csv,0.17102525822252282,0.22932249946040906,Yes,1_100_0.75_100_4.csv,0.11498825542684682,0.10829022794521065,Yes,,,,,,
,,,,,,,,1_100_2_100_18.csv,0.11407406385311442,-0.0519346332742672,No,2_120_1.75_75_18.csv,0.17102525822252282,0.22932249946040906,Yes,1_100_0.75_125_4.csv,0.11498825542684682,0.10829022794521065,Yes,,,,,,
,,,,,,,,1_100_2_100_20.csv,0.11407406385311442,-0.0519346332742672,No,2_120_1.75_225_18.csv,0.1710252558799547,0.22932249432772966,Yes,1_100_0.75_75_4.csv,0.11498825542684682,0.10829022794521065,Yes,,,,,,
,,,,,,,,1_100_2_100_6.csv,0.11407406385311442,-0.0519346332742672,No,2_100_1_100_4.csv,0.17074450876493147,0.2160136943708178,Yes,3_100_0.75_100_4.csv,0.11498825542684682,0.10829022794521065,Yes,,,,,,
,,,,,,,,1_100_2_100_8.csv,0.11407406385311442,-0.0519346332742672,No,2_100_1_125_4.csv,0.17074450876493147,0.2160136943708178,Yes,3_100_0.75_125_4.csv,0.11498825542684682,0.10829022794521065,Yes,,,,,,
