Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,Pass3,Para4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Pass8,Para9,Pass9
2_20_0.75_50_20.csv,0.3592678333333333,0.008653649555087059,,2_80_2_125_14.csv,0.11729823089905758,-0.05329201713923004,,,,,,,,,,2_100_0.75_100_14.csv,0.19971999625331066,0.3177941948207271,,2_120_0.75_100_6.csv,0.4094883303354283,0.19493730758089384,,2_120_0.75_100_18.csv,0.2189036135101075,0.03955094288875599,,,
2_20_0.75_50_8.csv,0.3592678333333333,0.008653649555087059,,2_80_2_150_12.csv,0.11729822942610195,-0.05329203451892024,,,,,,,,,,2_100_0.75_100_16.csv,0.19971999625331066,0.3177941948207271,,2_120_0.75_125_6.csv,0.4094883303354283,0.19493730758089384,,2_120_0.75_100_20.csv,0.2189036135101075,0.03955094288875599,,,
2_20_1_75_10.csv,0.35810629166666663,0.021655321275841292,,2_80_2_100_16.csv,0.11729822895958111,-0.053292020543141694,,,,,,,,,,2_100_0.75_100_18.csv,0.19971999625331066,0.3177941948207271,,2_120_0.75_75_6.csv,0.4094883303354283,0.19493730758089384,,2_120_0.75_125_12.csv,0.2189036135101075,0.03955094288875599,,,
2_20_1_75_12.csv,0.35810629166666663,0.021655321275841292,,2_80_2_125_16.csv,0.11729822895958111,-0.053292020543141694,,,,,,,,,,2_100_0.75_100_20.csv,0.19971999625331066,0.3177941948207271,,2_120_0.75_200_6.csv,0.4094881483538736,0.04713925407726895,,2_120_0.75_125_14.csv,0.2189036135101075,0.03955094288875599,,,
2_20_1_75_14.csv,0.35810629166666663,0.021655321275841292,,2_80_2_100_12.csv,0.1172982284554561,-0.053292020629327315,,,,,,,,,,2_100_0.75_50_12.csv,0.19971999625331066,0.3177941948207271,,2_120_0.75_225_6.csv,0.4094881354852987,0.04713926425420424,,2_120_0.75_125_16.csv,0.2189036135101075,0.03955094288875599,,,
2_20_1_75_16.csv,0.35810629166666663,0.021655321275841292,,2_80_2_125_12.csv,0.1172982284554561,-0.053292020629327315,,,,,,,,,,2_100_0.75_50_14.csv,0.19971999625331066,0.3177941948207271,,2_120_0.75_175_6.csv,0.4094881716782439,0.04713925607591863,,2_120_0.75_125_18.csv,0.2189036135101075,0.03955094288875599,,,
2_20_1_75_18.csv,0.35810629166666663,0.021655321275841292,,2_80_2_225_12.csv,0.1172982280218284,-0.053292017208880285,,,,,,,,,,2_100_0.75_50_16.csv,0.19971999625331066,0.3177941948207271,,2_120_0.75_150_6.csv,0.409488042688268,0.19493721145561954,,2_120_0.75_125_20.csv,0.2189036135101075,0.03955094288875599,,,
2_20_1_75_20.csv,0.35810629166666663,0.021655321275841292,,2_80_2_50_12.csv,0.11729822782405483,-0.05329201637641949,,,,,,,,,,2_100_0.75_50_18.csv,0.19971999625331066,0.3177941948207271,,2_120_2_175_16.csv,0.4015091304364454,0.10647156169416855,,2_120_0.75_75_12.csv,0.2189036135101075,0.03955094288875599,,,
2_20_1_75_8.csv,0.35810629166666663,0.021655321275841292,,2_80_2_75_12.csv,0.11729822782405483,-0.05329201637641949,,,,,,,,,,2_100_0.75_50_20.csv,0.19971999625331066,0.3177941948207271,,2_120_2_225_16.csv,0.4015091124557374,0.10647156596528728,,2_120_0.75_75_14.csv,0.2189036135101075,0.03955094288875599,,,
2_20_0.75_75_6.csv,0.3545876666666667,0.00032759737108056173,,2_80_2_175_16.csv,0.11729822668339782,-0.05329201521582047,,,,,,,,,,2_100_0.75_75_12.csv,0.19971999625331066,0.3177941948207271,,2_120_2_100_16.csv,0.40150908025133536,0.10647153460071569,,2_120_0.75_75_16.csv,0.2189036135101075,0.03955094288875599,,,
2_20_0.75_75_4.csv,0.34723812499999995,0.027668537133162908,,2_40_0.75_100_10.csv,0.11674829582512217,0.008803274381935703,,,,,,,,,,2_100_0.75_75_14.csv,0.19971999625331066,0.3177941948207271,,2_120_2_125_16.csv,0.40150908025133536,0.10647153460071569,,2_120_0.75_75_18.csv,0.2189036135101075,0.03955094288875599,,,
2_20_1_125_10.csv,0.3444647916666667,6.055146090388885e-05,,2_40_0.75_100_12.csv,0.11674829582512217,0.008803274381935703,,,,,,,,,,2_100_0.75_75_16.csv,0.19971999625331066,0.3177941948207271,,2_120_2_50_16.csv,0.40150908025133536,0.10647153460071569,,2_120_0.75_75_20.csv,0.2189036135101075,0.03955094288875599,,,
