Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,Pass7
2_100_1.5_50_12.csv,0.1418831875,-0.01846857346361663,No,,2_20_1_150_8.csv,0.124716600212505,0.28345037251954247,Yes,,1_60_1.75_150_4.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_175_14.csv,0.17980105401000981,0.10151739860879479,Yes,,2_120_0.75_75_18.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_100_1.5_75_12.csv,0.1418831875,-0.01846857346361663,No,,2_20_1_100_10.csv,0.13142958696705145,0.5134008850457987,Yes,,1_60_1.75_150_6.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_125_18.csv,0.17980106094556964,0.19301190924442443,Yes,,2_120_0.75_75_20.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_40_1.75_100_4.csv,0.14119065625,0.1329349976561912,Yes,,2_20_1_100_12.csv,0.13142958696705145,0.5134008850457987,Yes,,1_60_1.75_150_8.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_125_14.csv,0.17980104265001343,0.16114981881885157,Yes,,2_120_0.75_100_12.csv,0.185356040887842,-0.0359790987492144,No,,,
2_100_1.5_100_8.csv,0.14100932824999998,0.013758443338365546,No,,2_20_1_100_14.csv,0.13142958696705145,0.5134008850457987,Yes,,3_60_1.75_150_10.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_50_20.csv,0.17980105817318748,0.19301188108077533,Yes,,2_120_0.75_125_12.csv,0.185356040887842,-0.0359790987492144,No,,,
2_100_1.5_125_8.csv,0.14100932824999998,0.013758443338365546,No,,2_20_1_100_16.csv,0.13142958696705145,0.5134008850457987,Yes,,3_60_1.75_150_12.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_75_20.csv,0.17980105817318748,0.19301188108077533,Yes,,2_120_0.75_150_12.csv,0.185356040887842,-0.0359790987492144,No,,,
2_100_1.5_50_8.csv,0.14100932824999998,0.013758443338365546,No,,2_20_1_100_18.csv,0.13142958696705145,0.5134008850457987,Yes,,3_60_1.75_150_14.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_225_10.csv,0.1798010328840837,0.0625662824248529,No,,2_120_0.75_50_12.csv,0.185356040887842,-0.0359790987492144,No,,,
2_100_1.5_75_8.csv,0.14100932824999998,0.013758443338365546,No,,2_20_1_100_20.csv,0.13142958696705145,0.5134008850457987,Yes,,3_60_1.75_150_16.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_175_10.csv,0.17980104078000084,0.06256628801803876,No,,2_120_0.75_75_12.csv,0.185356040887842,-0.0359790987492144,No,,,
2_60_1.75_50_6.csv,0.1401218125,0.030504364582280306,No,,2_20_1_100_8.csv,0.13142958696705145,0.46267894511571905,Yes,,3_60_1.75_150_18.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_175_18.csv,0.1798010175242604,0.12875830794862891,Yes,,2_120_0.75_100_14.csv,0.18535603718939345,-0.035979106431510297,No,,,
2_60_1.75_75_6.csv,0.1401218125,0.030504364582280306,No,,2_40_1.5_150_8.csv,0.12371460420560282,0.13616581828575613,Yes,,3_60_1.75_150_20.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_50_12.csv,0.1798010205829624,0.1611498132387736,Yes,,2_120_0.75_125_14.csv,0.18535603718939345,-0.035979106431510297,No,,,
2_40_1.5_100_4.csv,0.139997625,0.020241222420447215,No,,2_60_1.25_50_4.csv,0.13088666854556294,0.6830158430872223,Yes,,3_60_1.75_150_4.csv,0.5658272566607966,-0.04137281359633678,No,,,,,,,2_80_1.75_75_12.csv,0.1798010205829624,0.1611498132387736,Yes,,2_120_0.75_150_14.csv,0.18535603718939345,-0.035979106431510297,No,,,
