Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Score_8,Pass8,Para9,InSample9_Annual_RateOfReturn,OutSample9_Annual_RateOfReturn,Score_9,Pass9
1_20_0.75_50_10.csv,0.3628419166666667,0.12941391393745885,0.3205340039004268,No,2_100_1.75_50_20.csv,0.1769570434200475,-0.1221373001190143,-0.9500536521904767,No,,,,,,,,,,,,,,,,,,,,,1_120_1.25_225_10.csv,0.3762775077629942,0.1680876284204304,0.22135014267950837,No,2_120_2_200_8.csv,0.49994113115539107,0.0534406279871054,0.467734408887894,No,,,,,
1_20_0.75_50_12.csv,0.3628419166666667,0.12941391393745885,0.3205340039004268,No,2_100_1.75_75_20.csv,0.1769570434200475,-0.1221373001190143,-0.9500536521904767,No,,,,,,,,,,,,,,,,,,,,,1_120_1.25_225_12.csv,0.3762775077629942,0.1680876284204304,0.22135014267950837,No,2_120_2_225_8.csv,0.4999410810075358,0.053440639733038024,0.467734511693139,No,,,,,
1_20_0.75_50_14.csv,0.3628419166666667,0.12941391393745885,0.3205340039004268,No,2_100_1.75_125_20.csv,0.17695703975306498,-0.12213728643685964,-0.9500535457628662,No,,,,,,,,,,,,,,,,,,,,,1_120_1.25_225_14.csv,0.3762775077629942,0.1680876284204304,0.22135014267950837,No,2_120_2_100_8.csv,0.49994104619128643,0.0534406460357595,0.46773456685715586,No,,,,,
1_20_0.75_50_16.csv,0.3628419166666667,0.12941391393745885,0.3205340039004268,No,2_100_1.75_150_20.csv,0.17695703975306498,-0.12213728643685964,-0.9500535457628662,No,,,,,,,,,,,,,,,,,,,,,1_120_1.25_225_16.csv,0.3762775077629942,0.1680876284204304,0.22135014267950837,No,2_120_2_125_8.csv,0.49994104619128643,0.0534406460357595,0.46773456685715586,No,,,,,
1_20_0.75_50_18.csv,0.3628419166666667,0.12941391393745885,0.3205340039004268,No,2_100_1.75_125_14.csv,0.17695701360604096,-0.12213729033298829,-0.9500535760691792,No,,,,,,,,,,,,,,,,,,,,,1_120_1.25_225_18.csv,0.3762775077629942,0.1680876284204304,0.22135014267950837,No,2_120_2_150_8.csv,0.49994104619128643,0.0534406460357595,0.46773456685715586,No,,,,,
1_20_0.75_50_20.csv,0.3628419166666667,0.12941391393745885,0.3205340039004268,No,2_100_1.75_150_14.csv,0.17695701360604096,-0.12213729033298829,-0.9500535760691792,No,,,,,,,,,,,,,,,,,,,,,1_120_1.25_225_20.csv,0.3762775077629942,0.1680876284204304,0.22135014267950837,No,2_120_2_50_8.csv,0.49994104619128643,0.0534406460357595,0.46773456685715586,No,,,,,
1_20_0.75_50_4.csv,0.3628419166666667,0.12941391393745885,0.3205340039004268,No,2_100_1.75_100_14.csv,0.17695700904178926,-0.12213728835451426,-0.9500535606794787,No,,,,,,,,,,,,,,,,,,,,,1_120_1.25_225_4.csv,0.3762775077629942,0.1680876284204304,0.22135014267950837,No,2_120_2_75_8.csv,0.49994104619128643,0.0534406460357595,0.46773456685715586,No,,,,,
1_20_0.75_50_6.csv,0.3628419166666667,0.12941391393745885,0.3205340039004268,No,2_100_1.75_50_14.csv,0.17695700904178926,-0.12213728835451426,-0.9500535606794787,No,,,,,,,,,,,,,,,,,,,,,1_120_1.25_225_6.csv,0.3762775077629942,0.1680876284204304,0.22135014267950837,No,2_120_2_100_12.csv,0.4999410079730311,0.04553308370070311,0.39852432113503944,No,,,,,
1_20_0.75_50_8.csv,0.3628419166666667,0.12941391393745885,0.3205340039004268,No,2_100_1.75_75_14.csv,0.17695700904178926,-0.12213728835451426,-0.9500535606794787,No,,,,,,,,,,,,,,,,,,,,,1_120_1.25_225_8.csv,0.3762775077629942,0.1680876284204304,0.22135014267950837,No,2_120_2_125_12.csv,0.4999410079730311,0.04553308370070311,0.39852432113503944,No,,,,,
3_20_0.75_50_10.csv,0.3628419166666667,0.12941391393745885,0.3205340039004268,No,1_120_0.75_50_4.csv,0.1766291143205032,-0.08642070807040285,-0.6722296075577918,No,,,,,,,,,,,,,,,,,,,,,3_120_1.25_225_10.csv,0.3762775077629942,0.1680876284204304,0.22135014267950837,No,2_120_2_150_12.csv,0.4999410079730311,0.04553308370070311,0.39852432113503944,No,,,,,
