Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5
,,,,3_60_1.75_150_14.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_80_2_75_10.csv,0.1100172724512116,0.012150405497351607,Yes,,,,
,,,,3_60_1.75_150_16.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_120_2_125_12.csv,0.10863074937272198,0.06660989133609806,Yes,,,,
,,,,3_60_1.75_150_18.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_120_2_150_12.csv,0.10863074937272198,0.06660989133609806,Yes,,,,
,,,,3_60_1.75_150_20.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_120_2_200_12.csv,0.1086307472955846,0.06660989383880773,Yes,,,,
,,,,3_60_1.75_150_4.csv,0.11713368155904653,-0.042831028560953194,No,,,,,2_120_2_225_12.csv,0.1086307472955846,0.0689575290681676,Yes,,,,
,,,,3_60_1.75_150_6.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_120_2_175_12.csv,0.1086307338707525,0.06660988355829581,Yes,,,,
,,,,3_60_1.75_150_8.csv,0.11713368155904653,-0.0556373841009183,No,,,,,2_120_2_100_12.csv,0.108630733865172,0.06660988524447585,Yes,,,,
,,,,1_60_1.75_125_10.csv,0.11713367505696479,-0.05563738008267019,No,,,,,2_120_2_50_12.csv,0.108630733865172,0.06660988524447585,Yes,,,,
,,,,1_60_1.75_125_12.csv,0.11713367505696479,-0.05563738008267019,No,,,,,2_120_2_75_12.csv,0.108630733865172,0.06660988524447585,Yes,,,,
,,,,1_60_1.75_125_14.csv,0.11713367505696479,-0.05563738008267019,No,,,,,1_40_1.5_75_10.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,1_60_1.75_125_16.csv,0.11713367505696479,-0.05563738008267019,No,,,,,1_40_1.5_75_12.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,1_60_1.75_125_18.csv,0.11713367505696479,-0.05563738008267019,No,,,,,1_40_1.5_75_14.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,1_60_1.75_125_20.csv,0.11713367505696479,-0.05563738008267019,No,,,,,1_40_1.5_75_16.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,1_60_1.75_125_4.csv,0.11713367505696479,-0.042831012725120354,No,,,,,1_40_1.5_75_18.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,1_60_1.75_125_6.csv,0.11713367505696479,-0.05563738008267019,No,,,,,1_40_1.5_75_20.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,1_60_1.75_125_8.csv,0.11713367505696479,-0.05563738008267019,No,,,,,1_40_1.5_75_4.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,3_60_1.75_125_10.csv,0.11713367505696479,-0.05563738008267019,No,,,,,1_40_1.5_75_6.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,3_60_1.75_125_12.csv,0.11713367505696479,-0.05563738008267019,No,,,,,1_40_1.5_75_8.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,3_60_1.75_125_14.csv,0.11713367505696479,-0.05563738008267019,No,,,,,3_40_1.5_75_10.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,3_60_1.75_125_16.csv,0.11713367505696479,-0.05563738008267019,No,,,,,3_40_1.5_75_12.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,3_60_1.75_125_18.csv,0.11713367505696479,-0.05563738008267019,No,,,,,3_40_1.5_75_14.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,3_60_1.75_125_20.csv,0.11713367505696479,-0.05563738008267019,No,,,,,3_40_1.5_75_16.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,3_60_1.75_125_4.csv,0.11713367505696479,-0.042831012725120354,No,,,,,3_40_1.5_75_18.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,3_60_1.75_125_6.csv,0.11713367505696479,-0.05563738008267019,No,,,,,3_40_1.5_75_20.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,3_60_1.75_125_8.csv,0.11713367505696479,-0.05563738008267019,No,,,,,3_40_1.5_75_4.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,1_60_1.75_50_10.csv,0.11713365681311405,-0.055637387843153585,No,,,,,3_40_1.5_75_6.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,1_60_1.75_50_12.csv,0.11713365681311405,-0.055637387843153585,No,,,,,3_40_1.5_75_8.csv,0.10850220323160925,-0.019063235038456302,No,,,,
,,,,1_60_1.75_50_14.csv,0.11713365681311405,-0.055637387843153585,No,,,,,1_40_1.5_100_10.csv,0.1085021976178785,-0.012568708788452107,No,,,,
,,,,1_60_1.75_50_16.csv,0.11713365681311405,-0.055637387843153585,No,,,,,1_40_1.5_100_12.csv,0.1085021976178785,-0.012568708788452107,No,,,,
,,,,1_60_1.75_50_18.csv,0.11713365681311405,-0.055637387843153585,No,,,,,1_40_1.5_100_14.csv,0.1085021976178785,-0.012568708788452107,No,,,,
,,,,1_60_1.75_50_20.csv,0.11713365681311405,-0.055637387843153585,No,,,,,1_40_1.5_100_16.csv,0.1085021976178785,-0.012568708788452107,No,,,,
,,,,1_60_1.75_50_4.csv,0.11713365681311405,-0.04283101640190091,No,,,,,1_40_1.5_100_18.csv,0.1085021976178785,-0.012568708788452107,No,,,,
,,,,1_60_1.75_50_6.csv,0.11713365681311405,-0.055637387843153585,No,,,,,1_40_1.5_100_20.csv,0.1085021976178785,-0.012568708788452107,No,,,,
,,,,1_60_1.75_50_8.csv,0.11713365681311405,-0.055637387843153585,No,,,,,1_40_1.5_100_4.csv,0.1085021976178785,-0.012568708788452107,No,,,,
,,,,3_60_1.75_50_10.csv,0.11713365681311405,-0.055637387843153585,No,,,,,1_40_1.5_100_6.csv,0.1085021976178785,-0.012568708788452107,No,,,,
