Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5
3_100_1_125_16.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,3_100_1.25_150_12.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_20_1_75_10.csv,0.21903219747846653,-0.03723230637801822,-0.2797336190189656,No,,,,,
3_100_1_125_18.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,3_100_1.25_150_14.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_20_1_75_12.csv,0.21903219747846653,-0.03723230637801822,-0.2797336190189656,No,,,,,
3_100_1_125_20.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,3_100_1.25_150_16.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_20_1_75_14.csv,0.21903219747846653,-0.03723230637801822,-0.2797336190189656,No,,,,,
3_100_1_125_6.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,3_100_1.25_150_18.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_20_1_75_16.csv,0.21903219747846653,-0.03723230637801822,-0.2797336190189656,No,,,,,
3_100_1_125_8.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,3_100_1.25_150_20.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_20_1_75_18.csv,0.21903219747846653,-0.03723230637801822,-0.2797336190189656,No,,,,,
3_100_1_150_10.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,3_100_1.25_150_4.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_20_1_75_20.csv,0.21903219747846653,-0.03723230637801822,-0.2797336190189656,No,,,,,
3_100_1_150_12.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,3_100_1.25_150_6.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_20_1_75_8.csv,0.21903219747846653,-0.03723230637801822,-0.2797336190189656,No,,,,,
3_100_1_150_14.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,3_100_1.25_150_8.csv,0.28532428087784867,-0.048339949937538824,-0.5412257534132561,No,,,2_60_0.75_75_6.csv,0.2188017021210479,0.036425474033150156,0.2736717293933271,No,,,,,
3_100_1_150_16.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_125_10.csv,0.28532422400990615,-0.04833990807421043,-0.5412252847013216,No,,,2_100_1.75_175_20.csv,0.2305322886817335,0.12197895131104602,0.9164517810941292,Yes,,,,,
3_100_1_150_18.csv,0.14140985,0.22848462046423085,0.4147649871746354,No,1_100_1.25_125_12.csv,0.28532422400990615,-0.04833990807421043,-0.5412252847013216,No,,,2_100_1.75_200_20.csv,0.23053225387836482,0.12197896262965251,0.9164518661330392,Yes,,,,,
