Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,OutSamplePass7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,OutSamplePass8,Pass8,Para9,Pass9
,,,,,2_120_1.5_125_12.csv,0.2390389233353934,-0.0513555644203931,No,,2_20_2_175_20.csv,0.10224211582891687,0.018859425433817065,No,,,,,,,,,,,,3_100_1_100_14.csv,0.247701769658632,0.17524959473079582,Yes,,2_120_1_225_6.csv,0.1835435821759924,0.07981338678981473,No,,,,,,,,
,,,,,2_120_1.5_150_12.csv,0.2390389233353934,-0.0513555644203931,No,,2_20_2_200_8.csv,0.10224211843277924,-0.008512522179325945,No,,,,,,,,,,,,3_100_1_100_16.csv,0.247701769658632,0.17524959473079582,Yes,,2_120_1_200_6.csv,0.18354357646806096,0.07981340781562674,No,,,,,,,,
,,,,,2_120_1.5_175_12.csv,0.2390389233353934,-0.0513555644203931,No,,2_20_2_200_12.csv,0.10224209735581918,-0.008512543707716766,No,,,,,,,,,,,,3_100_1_100_18.csv,0.247701769658632,0.17524959473079582,Yes,,2_120_1_100_6.csv,0.18354356216154835,0.09318221343708065,No,,,,,,,,
,,,,,2_120_1.5_50_12.csv,0.2390389233353934,-0.0513555644203931,No,,2_20_2_200_14.csv,0.10224209735581918,-0.008512543707716766,No,,,,,,,,,,,,3_100_1_100_20.csv,0.247701769658632,0.17524959473079582,Yes,,2_120_1_50_6.csv,0.18354356216154835,0.09318221343708065,No,,,,,,,,
,,,,,2_120_1.5_75_12.csv,0.2390389233353934,-0.0513555644203931,No,,2_20_2_200_16.csv,0.10224209735581918,-0.008512543707716766,No,,,,,,,,,,,,3_100_1_100_4.csv,0.247701769658632,0.17524959473079582,Yes,,2_120_1_75_6.csv,0.18354356216154835,0.09318221343708065,No,,,,,,,,
,,,,,2_120_1.5_200_12.csv,0.23903891658476956,-0.05135556789758278,No,,2_20_2_200_18.csv,0.10224209735581918,-0.008512543707716766,No,,,,,,,,,,,,3_100_1_100_6.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_175_10.csv,0.18237086484412274,-0.0004974235483144016,No,,,,,,,,
,,,,,1_120_1_100_10.csv,0.2373926489627321,-0.0390300391270372,No,,2_20_2_200_20.csv,0.10224209735581918,-0.008512543707716766,No,,,,,,,,,,,,3_100_1_100_8.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_175_12.csv,0.18237086484412274,-0.0004974235483144016,No,,,,,,,,
,,,,,1_120_1_100_12.csv,0.2373926489627321,-0.0390300391270372,No,,2_20_2_175_8.csv,0.10224208554481354,0.01885942466565346,No,,,,,,,,,,,,3_100_1_50_10.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_175_14.csv,0.18237086484412274,-0.0004974235483144016,No,,,,,,,,
,,,,,1_120_1_100_14.csv,0.2373926489627321,-0.0390300391270372,No,,,,,,,,,,,,,,,,,3_100_1_50_12.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_175_16.csv,0.18237086484412274,-0.0004974235483144016,No,,,,,,,,
,,,,,1_120_1_100_16.csv,0.2373926489627321,-0.0390300391270372,No,,2_40_1_50_4.csv,0.10151848724974907,0.04092189570737951,No,,,,,,,,,,,,3_100_1_50_14.csv,0.247701769658632,0.17524959473079582,Yes,,2_20_0.75_175_18.csv,0.18237086484412274,-0.0004974235483144016,No,,,,,,,,
