Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5
3_20_0.75_50_4.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_0.75_75_4.csv,0.41680030758512226,-0.07168314548033897,33499915.185,-32009217.529,1.0465708871092974,No,,,2_80_2_75_8.csv,0.4105295593006024,0.04053886708604447,35722255.752,-31036323.751999997,1.1509821858234108,No,2_100_1.5_50_14.csv,0.12772723851274653,0.018608841783732358,65870196.5,-60615239.5,1.0866936605933892,No
3_20_0.75_50_6.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_0.75_50_4.csv,0.4168003011686684,-0.07168313159671706,32976477.658000004,-31509071.814,1.046570900363622,No,,,2_80_2_100_8.csv,0.4105295074934063,0.04053886705166206,33749865.064,-29322665.564,1.1509821639624525,No,2_100_1.5_75_14.csv,0.12772723851274653,0.018608841783732358,65870196.5,-60615239.5,1.0866936605933892,No
3_20_0.75_50_8.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.25_125_8.csv,0.4161935723119955,-0.07794085921203966,25247397.89,-24179924.531,1.0441470922554552,No,,,2_60_1.5_100_6.csv,0.40146744028143627,0.04821514887930137,76728354.125,-67634760.375,1.1344514817466742,No,2_100_1.5_200_14.csv,0.127727238067546,0.02131362449173351,52082434.5,-47741558.5,1.090924472019488,No
2_20_1_50_10.csv,0.293379775,0.050923459519596245,24856752.78,-22761738.78,1.0920410351884373,No,2_100_1.25_100_8.csv,0.4161935116026193,-0.07794087579067806,26176746.766999997,-25069980.455,1.044147075183669,No,,,2_80_0.75_50_4.csv,0.41456837580901507,0.028790841259279637,51814798.5,-46613713.0,1.1115784425926336,No,2_100_1.5_225_10.csv,0.12772723651787693,0.00813478611739816,64675876.5,-59925905.0,1.0792640761954284,No
2_20_1_50_12.csv,0.293379775,0.050923459519596245,24856752.78,-22761738.78,1.0920410351884373,No,2_100_1.25_50_8.csv,0.4161935116026193,-0.07794087579067806,26176746.766999997,-25069980.455,1.044147075183669,No,,,2_80_0.75_75_4.csv,0.41456837580901507,0.028790841259279637,51814798.5,-46613713.0,1.1115784425926336,No,2_100_1.5_225_16.csv,0.12772723357586446,0.008134751512885341,44652833.75,-41373410.25,1.079264036495517,No
2_20_1_50_14.csv,0.293379775,0.050923459519596245,24856752.78,-22761738.78,1.0920410351884373,No,2_100_1.25_75_8.csv,0.4161935116026193,-0.07794087579067806,26176746.766999997,-25069980.455,1.044147075183669,No,,,2_80_1.25_100_4.csv,0.394244826852508,0.08050475607137401,34738455.188,-29424357.188,1.1806020082629782,No,2_100_1.5_150_10.csv,0.12772723215394907,0.018608851233306436,75432532.5,-69414716.5,1.0866936624310783,No
2_20_1_50_16.csv,0.293379775,0.050923459519596245,24856752.78,-22761738.78,1.0920410351884373,No,2_100_1.25_150_8.csv,0.41619350480297845,-0.0779408774525064,23970841.471,-22957342.018000003,1.044147072958418,No,,,2_80_1.25_50_4.csv,0.394244826852508,0.08050475607137401,34738455.188,-29424357.188,1.1806020082629782,No,2_100_1.5_125_18.csv,0.12772722720325366,0.018608869282773048,45545635.25,-41912119.75,1.0866936705104255,No
2_20_1_50_18.csv,0.293379775,0.050923459519596245,24856752.78,-22761738.78,1.0920410351884373,No,2_80_1.25_225_8.csv,0.4177640819046428,-0.060887919949177985,19914278.547000002,-18702754.469,1.0647778422161354,No,,,2_80_1.25_75_4.csv,0.394244826852508,0.08050475607137401,34738455.188,-29424357.188,1.1806020082629782,No,2_100_1.5_125_20.csv,0.12772722720325366,0.018608869282773048,45545635.25,-41912119.75,1.0866936705104255,No
2_20_1_50_20.csv,0.293379775,0.050923459519596245,24856752.78,-22761738.78,1.0920410351884373,No,2_80_1.75_125_20.csv,0.4157299975092381,-0.05672422075165837,19947916.197,-18673034.439,1.0682739466991673,No,,,2_60_1.75_50_8.csv,0.390162959040354,0.022196959207393393,37717664.188,-33226027.688,1.135184276079509,No,2_100_1.5_200_16.csv,0.1277272257780046,0.021313638565161674,44967642.0,-41219757.0,1.090924480704726,No
2_20_1_50_6.csv,0.293379775,0.050923459519596245,24856752.78,-22761738.78,1.0920410351884373,No,2_80_1.75_150_12.csv,0.4157299938871876,-0.05151420469690357,27813145.339,-25925240.433000002,1.0728211146538453,No,,,2_60_1.75_75_8.csv,0.3901629566126916,0.02219697331948085,35795753.315,-31532989.815,1.1351842475137652,No,2_100_1.5_100_10.csv,0.1277272214008165,0.01860883899135049,82374160.0,-75802559.0,1.086693656344768,No
2_20_1_50_8.csv,0.293379775,0.050923459519596245,24856752.78,-22761738.78,1.0920410351884373,No,2_80_1.75_150_20.csv,0.4157299845014035,-0.05672422224776232,24974784.906,-23378633.312,1.0682739479548924,No,,,2_80_1.25_225_4.csv,0.3872769983828872,0.06806162333992519,44621207.125,-38284652.625,1.1655116101500738,No,2_100_1.5_50_10.csv,0.1277272214008165,0.01860883899135049,82374160.0,-75802559.0,1.086693656344768,No
