Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5
,,,,,,,,,,,1_100_0.75_50_12.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,1_100_0.75_50_14.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,1_100_0.75_50_16.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,1_100_0.75_50_18.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,1_100_0.75_50_20.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,1_100_0.75_50_4.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,1_100_0.75_50_6.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,1_100_0.75_50_8.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,3_100_0.75_50_10.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,3_100_0.75_50_12.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,3_100_0.75_50_14.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,3_100_0.75_50_16.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,3_100_0.75_50_18.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,3_100_0.75_50_20.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,3_100_0.75_50_4.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,3_100_0.75_50_6.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,3_100_0.75_50_8.csv,0.2418053720693234,-0.010825426786206594,6507852.624,-6073017.842999999,1.0716011038072626,No,,,,,,,
,,,,,,,,,,,2_40_1_75_6.csv,0.22802146534603612,0.009390547682319107,12148010.908,-11071597.799,1.0972229237858715,No,,,,,,,
,,,,,,,,,,,1_100_1_125_4.csv,0.22738316197784328,-0.029028101736552653,4724999.315,-4439309.221,1.064354628113886,No,,,,,,,
,,,,,,,,,,,3_100_1_125_4.csv,0.22738316197784328,-0.029028101736552653,4724999.315,-4439309.221,1.064354628113886,No,,,,,,,
,,,,,,,,,,,1_100_1_225_4.csv,0.22738307931919166,-0.05773140146412696,3329612.2180000003,-3177551.0930000003,1.0478548166652564,No,,,,,,,
,,,,,,,,,,,3_100_1_225_4.csv,0.22738307931919166,-0.05773140146412696,3329612.2180000003,-3177551.0930000003,1.0478548166652564,No,,,,,,,
,,,,,,,,,,,1_100_1_100_4.csv,0.22738306279317522,-0.02902808974852443,5025484.392,-4721625.985,1.0643546117302214,No,,,,,,,
,,,,,,,,,,,1_100_1_50_4.csv,0.22738306279317522,-0.02902808974852443,5025484.392,-4721625.985,1.0643546117302214,No,,,,,,,
,,,,,,,,,,,1_100_1_75_4.csv,0.22738306279317522,-0.02902808974852443,5025484.392,-4721625.985,1.0643546117302214,No,,,,,,,
,,,,,,,,,,,3_100_1_100_4.csv,0.22738306279317522,-0.02902808974852443,5025484.392,-4721625.985,1.0643546117302214,No,,,,,,,
,,,,,,,,,,,3_100_1_50_4.csv,0.22738306279317522,-0.02902808974852443,5025484.392,-4721625.985,1.0643546117302214,No,,,,,,,
,,,,,,,,,,,3_100_1_75_4.csv,0.22738306279317522,-0.02902808974852443,5025484.392,-4721625.985,1.0643546117302214,No,,,,,,,
,,,,,,,,,,,1_100_1_175_4.csv,0.22738303026518336,-0.03362472428762315,3071973.7169999997,-2894096.9039999996,1.061461940944048,No,,,,,,,
,,,,,,,,,,,3_100_1_175_4.csv,0.22738303026518336,-0.03362472428762315,3071973.7169999997,-2894096.9039999996,1.061461940944048,No,,,,,,,
,,,,,,,,,,,1_100_1_150_4.csv,0.22738300062708744,-0.029028053948562817,3126314.223,-2937286.223,1.0643546408653821,No,,,,,,,
,,,,,,,,,,,3_100_1_150_4.csv,0.22738300062708744,-0.029028053948562817,3126314.223,-2937286.223,1.0643546408653821,No,,,,,,,
,,,,,,,,,,,1_100_1_200_4.csv,0.22738284211738832,-0.057731434605955145,3793878.397,-3620614.9280000003,1.0478547076796452,No,,,,,,,
,,,,,,,,,,,3_100_1_200_4.csv,0.22738284211738832,-0.057731434605955145,3793878.397,-3620614.9280000003,1.0478547076796452,No,,,,,,,
,,,,,,,,,,,2_40_1_75_14.csv,0.22695188305032493,0.022889048232506856,11551569.719,-10574105.906,1.0924393817963716,No,,,,,,,
,,,,,,,,,,,2_40_1_75_16.csv,0.22695188305032493,0.022889048232506856,11551569.719,-10574105.906,1.0924393817963716,No,,,,,,,
,,,,,,,,,,,2_40_1_75_18.csv,0.22695188305032493,0.022889048232506856,11551569.719,-10574105.906,1.0924393817963716,No,,,,,,,
,,,,,,,,,,,2_40_1_75_20.csv,0.22695188305032493,0.022889048232506856,11551569.719,-10574105.906,1.0924393817963716,No,,,,,,,
,,,,,,,,,,,2_40_1_75_10.csv,0.22695186735952438,0.02288906350680329,12267372.73,-11229339.48,1.0924393862923805,No,,,,,,,
,,,,,,,,,,,2_40_1_75_12.csv,0.22695186735952438,0.02288906350680329,12267372.73,-11229339.48,1.0924393862923805,No,,,,,,,
,,,,,,,,,,,2_60_1_125_8.csv,0.226665356874687,0.06287325400481873,11752185.615999999,-10589508.085,1.1097952352146485,No,,,,,,,
,,,,,,,,,,,2_60_1_125_10.csv,0.226665293769221,0.06287326045309038,11436716.258,-10305248.913999999,1.109795246426592,No,,,,,,,
,,,,,,,,,,,2_60_1_125_12.csv,0.226665293769221,0.06287326045309038,11436716.258,-10305248.913999999,1.109795246426592,No,,,,,,,
,,,,,,,,,,,2_60_1_125_14.csv,0.226665293769221,0.06287326045309038,11436716.258,-10305248.913999999,1.109795246426592,No,,,,,,,
,,,,,,,,,,,2_60_1_125_16.csv,0.226665293769221,0.06287326045309038,11436716.258,-10305248.913999999,1.109795246426592,No,,,,,,,
,,,,,,,,,,,2_60_1_125_18.csv,0.226665293769221,0.06287326045309038,11436716.258,-10305248.913999999,1.109795246426592,No,,,,,,,
,,,,,,,,,,,2_60_1_125_20.csv,0.226665293769221,0.06287326045309038,11436716.258,-10305248.913999999,1.109795246426592,No,,,,,,,
,,,,,,,,,,,2_100_2_200_12.csv,0.23645497457178752,-0.014920162458964738,6182140.032000001,-5738468.6729999995,1.0773152881512649,No,,,,,,,
,,,,,,,,,,,2_100_2_150_12.csv,0.2364550025348825,-0.014920163138728956,9452031.842,-8773691.248,1.0773153026275721,No,,,,,,,
,,,,,,,,,,,2_100_2_175_12.csv,0.23645499077490578,-0.014920161657228915,6931490.231000001,-6434040.453,1.0773153015797492,No,,,,,,,
,,,,,,,,,,,2_100_2_225_12.csv,0.23645498341094123,-0.014920157681755176,7390603.899,-6860205.051,1.0773153053089404,No,,,,,,,
,,,,,,,,,,,2_100_2_100_12.csv,0.23645496862059182,-0.014920159547017406,10032419.697999999,-9312426.635,1.077315300428136,No,,,,,,,
,,,,,,,,,,,2_100_2_125_12.csv,0.23645496862059182,-0.014920159547017406,10032419.697999999,-9312426.635,1.077315300428136,No,,,,,,,
,,,,,,,,,,,2_100_2_50_12.csv,0.23645496862059182,-0.014920159547017406,10032419.697999999,-9312426.635,1.077315300428136,No,,,,,,,
,,,,,,,,,,,2_100_2_75_12.csv,0.23645496862059182,-0.014920159547017406,10032419.697999999,-9312426.635,1.077315300428136,No,,,,,,,
,,,,,,,,,,,2_20_1.25_50_8.csv,0.22520165355616728,-0.00022966238175634146,8761295.955,-7999300.049,1.0952578227260343,No,,,,,,,
,,,,,,,,,,,2_20_1.25_50_10.csv,0.22520160619418217,-0.00022964828873448608,8932827.51,-8155912.977999999,1.0952578251013312,No,,,,,,,
,,,,,,,,,,,2_20_1.25_50_12.csv,0.22520160619418217,-0.00022964828873448608,8932827.51,-8155912.977999999,1.0952578251013312,No,,,,,,,
,,,,,,,,,,,2_20_1.25_50_14.csv,0.22520160619418217,-0.00022964828873448608,8932827.51,-8155912.977999999,1.0952578251013312,No,,,,,,,
,,,,,,,,,,,2_20_1.25_50_16.csv,0.22520160619418217,-0.00022964828873448608,8932827.51,-8155912.977999999,1.0952578251013312,No,,,,,,,
,,,,,,,,,,,2_20_1.25_50_18.csv,0.22520160619418217,-0.00022964828873448608,8932827.51,-8155912.977999999,1.0952578251013312,No,,,,,,,
,,,,,,,,,,,2_20_1.25_50_20.csv,0.22520160619418217,-0.00022964828873448608,8932827.51,-8155912.977999999,1.0952578251013312,No,,,,,,,
,,,,,,,,,,,2_80_1.5_175_12.csv,0.2360787270351029,0.0030085511623843685,4905825.912,-4534427.193,1.0819064246027248,No,,,,,,,
,,,,,,,,,,,2_80_1.5_150_12.csv,0.23607868091355994,0.01687630690374998,7313553.047,-6714931.195,1.0891478757735804,No,,,,,,,
,,,,,,,,,,,2_80_2_200_18.csv,0.23555651217890408,0.0019790989318449683,7243925.285,-6664263.307999999,1.0869806534060795,No,,,,,,,
,,,,,,,,,,,2_80_2_50_18.csv,0.23555649466926235,0.024103583149084055,11758023.447999999,-10694454.042000001,1.0994505565055563,No,,,,,,,
,,,,,,,,,,,2_80_2_75_18.csv,0.23555649466926235,0.024103583149084055,11758023.447999999,-10694454.042000001,1.0994505565055563,No,,,,,,,
,,,,,,,,,,,2_80_2_225_18.csv,0.23555648060903778,-0.0034709617753224684,9063985.478,-8359016.946,1.084336296547089,No,,,,,,,
,,,,,,,,,,,2_80_2_100_18.csv,0.23555644571047146,0.024103586790177156,10448666.756000001,-9503534.912,1.0994505573717201,No,,,,,,,
,,,,,,,,,,,2_80_2_125_18.csv,0.23555644571047146,0.024103586790177156,10448666.756000001,-9503534.912,1.0994505573717201,No,,,,,,,
,,,,,,,,,,,2_60_1_150_8.csv,0.22369000651216586,0.03954162521077175,9160576.508,-8328301.507999999,1.0999333416544217,No,,,,,,,
,,,,,,,,,,,2_60_1_150_10.csv,0.22368995414105405,0.03954161957154344,8914675.17,-8104741.295,1.0999333409321363,No,,,,,,,
