Symbol,Fullname
2474,2474可成科技股份有限公司
2475,2475中華映管股份有限公司
2476,2476鉅祥企業股份有限公司
2477,2477美隆工業股份有限公司
2478,2478大毅科技股份有限公司
2480,2480敦陽科技股份有限公司
2481,2481強茂股份有限公司
2482,2482連宇股份有限公司
2483,2483百容電子股份有限公司
2484,2484希華晶體科技股份有限公司
2485,2485兆赫電子股份有限公司
2486,2486一詮精密工業股份有限公司
2488,2488漢平電子工業股份有限公司
2489,2489瑞軒科技股份有限公司
2491,2491吉祥全球實業股份有限公司
2492,2492華新科技股份有限公司
2493,2493揚博科技股份有限公司
2495,2495普安科技股份有限公司
2496,2496卓越成功股份有限公司
2497,2497怡利電子工業股份有限公司
2498,2498宏達國際電子股份有限公司
2499,2499東貝光電科技股份有限公司
2501,2501國泰建設股份有限公司
2504,2504國產建材實業(原國產實業)
2505,2505國揚實業股份有限公司
2506,2506太平洋建設股份有限公司
2509,2509全坤建設開發股份有限公司
2511,2511太子建設開發股份有限公司
2514,2514龍邦國際興業股份有限公司
2515,2515中華工程股份有限公司
2516,2516新亞建設開發股份有限公司
2520,2520冠德建設股份有限公司
2524,2524京城建設股份有限公司
2527,2527宏璟建設股份有限公司
2528,2528皇普建設股份有限公司
2530,2530大華建設股份有限公司
2534,2534宏盛建設股份有限公司
2535,2535達欣工程股份有限公司
2536,2536宏普建設股份有限公司
2537,2537聯上開發股份有限公司
2538,2538基泰建設股份有限公司
2539,2539櫻花建設股份有限公司
2540,2540愛山林建設開發股份有限公司
2542,2542興富發建設股份有限公司
2543,2543皇昌營造股份有限公司
2545,2545皇翔建設股份有限公司
2546,2546根基營造股份有限公司
2547,2547日勝生活科技股份有限公司
2548,2548華固建設股份有限公司
2597,2597潤弘精密工程事業股份有限公司
2601,2601益航股份有限公司
2603,2603長榮海運股份有限公司
2605,2605新興航運股份有限公司
2606,2606裕民航運股份有限公司
2607,2607長榮國際儲運股份有限公司
2608,2608嘉里大榮物流股份有限公司
2609,2609陽明海運股份有限公司
2610,2610中華航空股份有限公司
2611,2611志信國際股份有限公司
2612,2612中國航運股份有限公司
2613,2613中國貨櫃運輸股份有限公司
2614,2614東森國際股份有限公司
2615,2615萬海航運股份有限公司
2616,2616山隆通運股份有限公司
2617,2617台灣航業股份有限公司
2618,2618長榮航空股份有限公司
2630,2630亞洲航空股份有限公司
2633,2633台灣高速鐵路股份有限公司
2634,2634漢翔航空工業股份有限公司
2636,2636台驊國際投資控股股份有限公司
2637,2637慧洋海運股份有限公司
2642,2642台灣宅配通股份有限公司
2701,2701萬華企業股份有限公司
2702,2702華園飯店股份有限公司
2704,2704國賓大飯店股份有限公司
2705,2705六福開發股份有限公司
2706,2706第一華僑大飯店股份有限公司
2707,2707晶華國際酒店股份有限公司
2712,2712遠雄悅來大飯店股份有限公司
2722,2722夏都國際開發股份有限公司
2723,2723開曼美食達人股份有限公司
2727,2727王品餐飲股份有限公司
2731,2731雄獅旅行社股份有限公司
2739,2739寒舍餐旅管理顧問股份有限公司
2748,2748雲品國際酒店股份有限公司
2801,2801彰化商業銀行股份有限公司
2809,2809京城商業銀行股份有限公司
2812,2812台中商業銀行股份有限公司
2816,2816旺旺友聯產物保險股份有限公司
2820,2820中華票券金融股份有限公司
2823,2823中國人壽保險股份有限公司
2832,2832台灣產物保險股份有限公司
2834,2834臺灣中小企業銀行股份有限公司
2836,2836高雄銀行股份有限公司
2838,2838聯邦商業銀行股份有限公司
2841,2841台灣土地開發股份有限公司
2845,2845遠東國際商業銀行股份有限公司
2849,2849安泰商業銀行股份有限公司
2850,2850新光產物保險股份有限公司
2851,2851中央再保險股份有限公司
2852,2852第一產物保險股份有限公司
2855,2855統一綜合證券股份有限公司
2856,2856元富證券股份有限公司
