Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,Pass7
3_120_1.5_125_18.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,3_40_1_50_12.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_150_18.csv,0.14834391891788928,0.04572390549548665,8141112.71,-7320696.147000001,1.1120681075304844,No,,,,,,,,,
3_120_1.5_125_20.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,3_40_1_50_14.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_150_20.csv,0.14834391891788928,0.04572390549548665,8141112.71,-7320696.147000001,1.1120681075304844,No,,,,,,,,,
3_120_1.5_125_4.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,3_40_1_50_16.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_50_6.csv,0.14834391694000756,0.07357686284165355,26066418.625,-23249613.0,1.1211549467511566,No,,,,,,,,,
3_120_1.5_125_6.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,3_40_1_50_18.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_225_12.csv,0.14834391689245827,0.002098732183954653,12498681.817,-11525516.13,1.0844357576722248,No,,,,,,,,,
3_120_1.5_125_8.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,3_40_1_50_20.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_100_12.csv,0.1483439097348396,0.06786006237557583,14941812.654000001,-13315501.217,1.1221367044691999,No,,,,,,,,,
3_120_1.5_50_10.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,3_40_1_50_6.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_125_14.csv,0.1483439113927803,0.045723897835414556,12359391.387,-11113879.7,1.1120681274784718,No,,,,,,,,,
3_120_1.5_50_12.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,3_40_1_50_8.csv,0.11236443842961982,-0.03557041893703771,19095898.125,-18484208.5,1.033092551677287,No,,,,,,,,2_60_1_125_16.csv,0.1483439113927803,0.045723897835414556,12359391.387,-11113879.7,1.1120681274784718,No,,,,,,,,,
3_120_1.5_50_14.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,1_40_1_50_4.csv,0.11236439295432211,-0.035570498193007526,19269720.0,-18652463.875,1.0330924712754603,No,,,,,,,,2_60_1_125_18.csv,0.1483439113927803,0.045723897835414556,12359391.387,-11113879.7,1.1120681274784718,No,,,,,,,,,
3_120_1.5_50_16.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,3_40_1_50_4.csv,0.11236439295432211,-0.035570498193007526,19269720.0,-18652463.875,1.0330924712754603,No,,,,,,,,2_60_1_125_20.csv,0.1483439113927803,0.045723897835414556,12359391.387,-11113879.7,1.1120681274784718,No,,,,,,,,,
3_120_1.5_50_18.csv,0.12151102349999998,0.01934794439551805,6433095.498,-5832043.81,1.1030602148374464,No,,,,,,,,2_120_1.75_175_14.csv,0.11485255795336324,-0.04271288262631713,11946836.515,-11694122.203,1.021610370373517,No,,,,,,,,2_60_1_175_12.csv,0.1483439137619357,0.04572388848937363,9152548.346,-8230204.932,1.11206809813615,No,,,,,,,,,
